actual,proposed
0.0,30.73149871826172
0.0,30.892404556274414
0.0,30.868072509765625
0.0,30.710384368896484
0.0,30.334949493408203
0.0,30.108243942260742
0.0,29.890256881713867
0.0,29.770177841186523
0.0,29.565195083618164
0.0,29.412858963012695
0.0,29.266380310058594
0.0,29.0360107421875
0.0,28.724973678588867
0.0,28.425899505615234
0.0,28.183090209960938
0.0,27.904857635498047
0.0,27.41351318359375
0.0,26.89630126953125
0.0,26.398984909057617
0.0,25.87602996826172
0.0,25.37318992614746
0.0,24.621110916137695
0.0,23.987485885620117
0.0,23.42299461364746
0.0,22.835451126098633
0.0,22.22574234008789
0.0,21.505197525024414
0.0,20.67807388305664
0.0,19.882762908935547
0.0,19.028514862060547
0.0,18.028072357177734
0.0,17.06610679626465
0.0,16.185903549194336
0.0,15.697659492492676
0.0,15.138667106628418
0.0,14.82498836517334
0.0,14.926241874694824
0.0,15.11312484741211
0.0,15.29281997680664
0.0,15.376079559326172
0.0,15.769478797912598
0.0,16.461084365844727
0.0,17.03656578063965
0.0,17.410860061645508
0.0,17.815521240234375
0.0,18.294145584106445
0.0,18.79912567138672
0.0,19.239919662475586
0.0,19.484708786010742
0.0,19.67531967163086
0.0,19.679546356201172
0.0,19.280744552612305
0.0,18.807754516601562
0.0,17.950088500976562
0.0,16.901596069335938
0.0,15.98295783996582
0.0,15.233938217163086
0.0,14.334676742553711
0.0,13.335714340209961
0.0,12.46469783782959
0.0,11.671945571899414
0.0,10.685869216918945
0.0,9.69295597076416
0.0,8.648704528808594
0.0,7.7341437339782715
0.0,7.03380823135376
0.0,6.584227085113525
0.0,6.37575101852417
0.0,6.309580326080322
0.0,6.201194763183594
0.0,5.962687015533447
0.0,5.643826007843018
0.0,5.337228775024414
0.0,5.08718729019165
0.0,4.4438982009887695
0.0,3.422482967376709
0.0,2.0822484493255615
0.0,0.6145111322402954
